PLAYER_ID,PERSON_ID,FIRST_NAME,LAST_NAME,FULL_NAME,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FI_LAST,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_CITY,PLAYERCODE,FROM_YEAR,TO_YEAR,DLEAGUE_FLAG,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,IS_ACTIVE,affiliation_state,affiliation_country,PLAYER_NAME,TimeFrame,PTS,AST,REB,ALL_STAR_APPEARANCES
101165,101165,Alex,Acker,Alex Acker,"Acker, Alex",A. Acker,1983-01-21T00:00:00,Pepperdine,USA,Pepperdine/USA,6-5,185,2,3,Guard,Active,1610612746,Clippers,LAC,clippers,Los Angeles,alex_acker,2005,2008,Y,Y,Y,2005,2,60,False,Pepperdine,USA,Alex Acker,career,2.7,0.5,1.0,0
76008,76008,Donald,Ackerman,Donald Ackerman,"Ackerman, Donald",D. Ackerman,1930-09-04T00:00:00,Long Island-Brooklyn,USA,Long Island University/USA,6-0,183,0, ,Guard,Active,1610612752,Knicks,NYK,knicks,New York,HISTADD_buddy_ackerman,1953,1953,N,Y,Y,1953,2,,False,Long Island University,USA,Donald Ackerman,career,1.5,0.8,0.5,0
76009,76009,Mark,Acres,Mark Acres,"Acres, Mark",M. Acres,1962-11-15T00:00:00,Oral Roberts,USA,Oral Roberts/USA,6-11,220,5,42,Center,Active,1610612764,Bullets,WAS,wizards,Washington,HISTADD_mark_acres,1987,1992,N,Y,Y,1985,2,40,False,Oral Roberts,USA,Mark Acres,career,3.6,0.5,4.1,0
76010,76010,Charles,Acton,Charles Acton,"Acton, Charles",C. Acton,1942-01-11T00:00:00,Hillsdale,USA,Alma; Hillsdale/USA,6-6,210,0,24,Forward,Active,1610612745,Rockets,SDR,rockets,San Diego,HISTADD_bud_acton,1967,1967,N,Y,Y,Undrafted,Undrafted,Undrafted,False,Alma; Hillsdale,USA,Charles Acton,career,3.3,0.5,2.0,0
203112,203112,Quincy,Acy,Quincy Acy,"Acy, Quincy",Q. Acy,1990-10-06T00:00:00,Baylor,USA,Baylor/USA,,,6,,,Inactive,0,,,,,quincy_acy,2012,2018,Y,Y,Y,2012,2,37,False,Baylor,USA,Quincy Acy,career,4.9,0.6,3.5,0
76011,76011,Alvan,Adams,Alvan Adams,"Adams, Alvan",A. Adams,1954-07-19T00:00:00,Oklahoma,USA,Oklahoma/USA,6-9,210,12,33,Center,Active,1610612756,Suns,PHX,suns,Phoenix,HISTADD_alvan_adams,1975,1987,N,Y,Y,1975,1,4,False,Oklahoma,USA,Alvan Adams,career,14.1,4.1,7.0,1
76012,76012,Don,Adams,Don Adams,"Adams, Don",D. Adams,1947-11-27T00:00:00,Northwestern,USA,Northwestern/USA,6-7,210,6,10,Forward,Active,1610612746,Braves,BUF,clippers,Buffalo,HISTADD_don_adams,1970,1976,N,Y,Y,1970,8,120,False,Northwestern,USA,Don Adams,career,8.7,1.8,5.6,0
200801,200801,Hassan,Adams,Hassan Adams,"Adams, Hassan",H. Adams,1984-06-20T00:00:00,Arizona,USA,Arizona/USA,,,1,,,Inactive,0,,,,,hassan_adams,2006,2008,N,Y,Y,2006,2,54,False,Arizona,USA,Hassan Adams,career,2.5,0.2,1.2,0
1629121,1629121,Jaylen,Adams,Jaylen Adams,"Adams, Jaylen",J. Adams,1996-05-04T00:00:00,,USA,St. Bonaventure/USA,6-2,190,1,10,Guard,Active,1610612737,Hawks,ATL,hawks,Atlanta,jaylen_adams,2018,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted,False,St. Bonaventure,USA,Jaylen Adams,2018-19,3.2,1.9,1.8,0.055
203919,203919,Jordan,Adams,Jordan Adams,"Adams, Jordan",J. Adams,1994-07-08T00:00:00,California-Los Angeles,USA,UCLA/USA,6-5,209,2,3,Guard,Active,1610612763,Grizzlies,MEM,grizzlies,Memphis,jordan_adams,2014,2015,Y,Y,Y,2014,1,22,False,UCLA,USA,Jordan Adams,career,3.2,0.6,0.9,0
149,149,Michael,Adams,Michael Adams,"Adams, Michael",M. Adams,1963-01-19T00:00:00,Boston College,USA,Boston College/USA,5-10,165,10,23,Guard,Active,1610612766,Hornets,CHH,hornets,Charlotte,michael_adams,1985,1995,N,Y,Y,1985,3,66,False,Boston College,USA,Michael Adams,career,14.7,6.4,2.9,1
203500,203500,Steven,Adams,Steven Adams,"Adams, Steven",S. Adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,7-0,265,6,12,Center,Active,1610612760,Thunder,OKC,thunder,Oklahoma City,steven_adams,2013,2019,N,Y,Y,2013,1,12,False,Pittsburgh,New Zealand,Steven Adams,2018-19,13.9,1.6,9.5,0.103
912,912,Rafael,Addison,Rafael Addison,"Addison, Rafael",R. Addison,1964-07-22T00:00:00,Syracuse,USA,Syracuse/USA,6-8,241,5,7,Forward,Active,1610612766,Hornets,CHH,hornets,Charlotte,rafael_addison,1986,1996,N,Y,Y,1986,2,39,False,Syracuse,USA,Rafael Addison,career,5.8,0.9,2.1,0
1628389,1628389,Bam,Adebayo,Bam Adebayo,"Adebayo, Bam",B. Adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-10,255,2,13,Center-Forward,Active,1610612748,Heat,MIA,heat,Miami,bam_adebayo,2017,2019,N,Y,Y,2017,1,14,False,Kentucky,USA,Bam Adebayo,2018-19,8.9,2.2,7.3,0.133
1629061,1629061,Deng,Adel,Deng Adel,"Adel, Deng",D. Adel,1997-02-01T00:00:00,University of Louisville,South Sudan, South Sudan/South Sudan,6-7,200,1,32,Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,deng_adel,2018,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted,False, South Sudan,South Sudan,Deng Adel,2018-19,1.7,0.3,1.0,0.018
76015,76015,Rick,Adelman,Rick Adelman,"Adelman, Rick",R. Adelman,1946-06-16T00:00:00,Loyola-Marymount,USA,Loyola Marymount/USA,6-2,175,6,5,Guard,Active,1610612758,Kings,KCK,kings,Kansas City-Omaha,HISTADD_rick_adelman,1968,1974,N,Y,Y,1968,7,79,False,Loyola Marymount,USA,Rick Adelman,career,7.7,3.5,2.4,0
202399,202399,Jeff,Adrien,Jeff Adrien,"Adrien, Jeff",J. Adrien,1986-02-10T00:00:00,Connecticut,USA,Connecticut/USA,,,5,,,Inactive,0,,,,,jeff_adrien,2010,2014,Y,Y,Y,Undrafted,Undrafted,Undrafted,False,Connecticut,USA,Jeff Adrien,career,4.6,0.7,4.3,0
201167,201167,Arron,Afflalo,Arron Afflalo,"Afflalo, Arron",A. Afflalo,1985-10-15T00:00:00,UCLA,USA,UCLA/USA,6-5,210,10,4,Guard,Active,1610612753,Magic,ORL,magic,Orlando,arron_afflalo,2007,2017,N,Y,Y,2007,1,27,False,UCLA,USA,Arron Afflalo,career,10.8,1.8,2.9,0
200772,200772,Maurice,Ager,Maurice Ager,"Ager, Maurice",M. Ager,1984-02-09T00:00:00,Michigan State,USA,Michigan State/USA,,,3,,,Inactive,0,,,,,maurice_ager,2006,2010,Y,Y,Y,2006,1,28,False,Michigan State,USA,Maurice Ager,career,2.1,0.2,0.6,0
76016,76016,Mark,Aguirre,Mark Aguirre,"Aguirre, Mark",M. Aguirre,1959-12-10T00:00:00,DePaul,USA,DePaul/USA,6-6,232,12,7,Forward,Active,1610612746,Clippers,LAC,clippers,Los Angeles,HISTADD_mark_aguirre,1981,1993,N,Y,Y,1981,1,1,False,DePaul,USA,Mark Aguirre,career,20.0,3.1,5.0,3
201336,201336,Blake,Ahearn,Blake Ahearn,"Ahearn, Blake",B. Ahearn,1984-05-27T00:00:00,Missouri State, ,Missouri State,6-2,190,3,2,Guard,Active,1610612762,Jazz,UTA,jazz,Utah,blake_ahearn,2007,2011,Y,Y,Y,Undrafted,Undrafted,Undrafted,False,,,Blake Ahearn,career,4.6,1.2,1.2,0
76017,76017,Danny,Ainge,Danny Ainge,"Ainge, Danny",D. Ainge,1959-03-17T00:00:00,Brigham Young,USA,Brigham Young/USA,6-5,175,13,22,Guard,Active,1610612756,Suns,PHX,suns,Phoenix,HISTADD_danny_ainge,1981,1994,N,Y,Y,1981,2,31,False,Brigham Young,USA,Danny Ainge,career,11.5,4.0,2.7,1
201582,201582,Alexis,Ajinca,Alexis Ajinca,"Ajinca, Alexis",A. Ajinca,1988-05-06T00:00:00,,France,St. Etienne/France,7-2,248,7,42,Center,Active,1610612740,Pelicans,NOP,pelicans,New Orleans,alexis_ajinca,2008,2017,Y,Y,Y,2008,1,20,False,St. Etienne,France,Alexis Ajinca,career,5.3,0.5,3.9,0
76018,76018,Henry,Akin,Henry Akin,"Akin, Henry",H. Akin,1944-07-31T00:00:00,Morehead State,USA,William Carey; Morehead State/USA,6-10,225,1,10,Center,Active,1610612760,SuperSonics,SEA,thunder,Seattle,HISTADD_henry_akin,1966,1967,N,Y,Y,1966,2,11,False,William Carey; Morehead State,USA,Henry Akin,career,3.5,0.5,2.1,0
203006,203006,Josh,Akognon,Josh Akognon,"Akognon, Josh",J. Akognon,1986-02-10T00:00:00,Cal State-Fullerton,USA,Cal State-Fullerton/USA,5-11,185,1,10,Guard,Active,1610612742,Mavericks,DAL,mavericks,Dallas,josh_akognon,2012,2012,Y,Y,Y,Undrafted,Undrafted,Undrafted,False,Cal State-Fullerton,USA,Josh Akognon,career,1.7,0.3,0.3,0
1629152,1629152,DeVaughn,Akoon-Purcell,DeVaughn Akoon-Purcell,"Akoon-Purcell, DeVaughn",D. Akoon-Purcell,1993-06-05T00:00:00,Illinois State,Trinidad and Tobago,Illinois State/Trinidad and Tobago,,,0,,,Inactive,0,,,,,devaughn_akoon-purcell,2018,2018,Y,Y,Y,Undrafted,Undrafted,Undrafted,False,Illinois State,Trinidad and Tobago,DeVaughn Akoon-Purcell,career,1.0,0.9,0.6,0
202374,202374,Solomon,Alabi,Solomon Alabi,"Alabi, Solomon",S. Alabi,1988-03-21T00:00:00,Florida State,Nigeria,Florida State/Nigeria,7-1,252,2,50,Center,Active,1610612761,Raptors,TOR,raptors,Toronto,solomon_alabi,2010,2011,Y,Y,Y,2010,2,50,False,Florida State,Nigeria,Solomon Alabi,career,1.5,0.2,2.3,0
76019,76019,Mark,Alarie,Mark Alarie,"Alarie, Mark",M. Alarie,1963-12-11T00:00:00,Duke,USA,Duke/USA,6-8,217,4,31,Forward,Active,1610612764,Bullets,WAS,wizards,Washington,HISTADD_mark_alarie,1986,1990,N,Y,Y,1986,1,18,False,Duke,USA,Mark Alarie,career,7.5,1.1,3.4,0
76020,76020,Gary,Alcorn,Gary Alcorn,"Alcorn, Gary",G. Alcorn,1936-10-08T00:00:00,Fresno State,USA,Fresno City Coll. CA (J.C.); Fresno State/USA,6-9,225,1,24,Center,Active,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_gary_alcorn,1959,1960,N,Y,Y,1959,3,16,False,Fresno City Coll. CA (J.C.); Fresno State,USA,Gary Alcorn,career,3.3,0.3,4.2,0
203128,203128,Furkan,Aldemir,Furkan Aldemir,"Aldemir, Furkan",F. Aldemir,1991-08-09T00:00:00,,Turkey,Galatasaray/Turkey,6-10,240,1,19,Forward-Center,Active,1610612755,76ers,PHI,sixers,Philadelphia,furkan_aldemir,2014,2014,N,Y,Y,2012,2,53,False,Galatasaray,Turkey,Furkan Aldemir,career,2.3,0.7,4.3,0
202332,202332,Cole,Aldrich,Cole Aldrich,"Aldrich, Cole",C. Aldrich,1988-10-31T00:00:00,Kansas,USA,Kansas/USA,6-11,253,8,45,Center,Active,1610612750,Timberwolves,MIN,timberwolves,Minnesota,cole_aldrich,2010,2017,Y,Y,Y,2010,1,11,False,Kansas,USA,Cole Aldrich,career,3.1,0.5,3.3,0
200746,200746,LaMarcus,Aldridge,LaMarcus Aldridge,"Aldridge, LaMarcus",L. Aldridge,1985-07-19T00:00:00,Texas,USA,Texas/USA,6-11,260,13,12,Center-Forward,Active,1610612759,Spurs,SAS,spurs,San Antonio,lamarcus_aldridge,2006,2019,N,Y,Y,2006,1,2,False,Texas,USA,LaMarcus Aldridge,2018-19,21.3,2.4,9.2,0.143
76021,76021,Chuck,Aleksinas,Chuck Aleksinas,"Aleksinas, Chuck",C. Aleksinas,1959-02-26T00:00:00,Connecticut,USA,Kentucky; Connecticut/USA,6-11,260,0,50,Center,Active,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_chuck_aleksinas,1984,1984,N,Y,Y,1982,4,76,False,Kentucky; Connecticut,USA,Chuck Aleksinas,career,5.1,0.5,3.6,0
1626146,1626146,Cliff,Alexander,Cliff Alexander,"Alexander, Cliff",C. Alexander,1995-11-16T00:00:00,Kansas,USA,Kansas/USA,6-8,240,1,34,Forward,Active,1610612757,Trail Blazers,POR,blazers,Portland,cliff_alexander,2015,2015,Y,Y,Y,Undrafted,Undrafted,Undrafted,False,Kansas,USA,Cliff Alexander,career,1.3,0.0,0.8,0
724,724,Cory,Alexander,Cory Alexander,"Alexander, Cory",C. Alexander,1973-06-22T00:00:00,Virginia,USA,Virginia/USA,6-1,190,7,12,Guard,Active,1610612766,Bobcats,CHA,hornets,Charlotte,cory_alexander,1995,2004,N,Y,Y,1995,1,29,False,Virginia,USA,Cory Alexander,career,5.5,2.7,1.6,0
2042,2042,Courtney,Alexander,Courtney Alexander,"Alexander, Courtney",C. Alexander,1977-04-27T00:00:00,Fresno State,USA,Fresno State/USA,6-5,205,3,32,Guard,Active,1610612740,Hornets,NOH,pelicans,New Orleans,courtney_alexander,2000,2003,N,Y,Y,2000,1,13,False,Fresno State,USA,Courtney Alexander,career,9.0,1.2,2.2,0
76022,76022,Gary,Alexander,Gary Alexander,"Alexander, Gary",G. Alexander,1969-11-01T00:00:00,South Florida,USA,South Florida/USA,6-7,240,0,16,Forward,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,HISTADD_gary_alexander,1993,1993,N,Y,Y,Undrafted,Undrafted,Undrafted,False,South Florida,USA,Gary Alexander,career,1.7,0.2,1.4,0
201570,201570,Joe,Alexander,Joe Alexander,"Alexander, Joe",J. Alexander,1986-12-26T00:00:00,West Virginia, ,West Virginia,6-8,230,2,20,Forward,Active,1610612741,Bulls,CHI,bulls,Chicago,joe_alexander,2008,2009,Y,Y,Y,2008,1,8,False,,,Joe Alexander,career,4.2,0.7,1.8,0
2349,2349,Victor,Alexander,Victor Alexander,"Alexander, Victor",V. Alexander,1969-08-31T00:00:00,Iowa State,USA,Iowa State/USA,6-10,265,4,9,Forward,Active,1610612765,Pistons,DET,pistons,Detroit,victor_alexander,1991,2001,N,Y,Y,1991,1,17,False,Iowa State,USA,Victor Alexander,career,8.9,0.9,4.8,0
76024,76024,Steve,Alford,Steve Alford,"Alford, Steve",S. Alford,1964-11-23T00:00:00,Indiana,USA,Indiana/USA,6-2,183,3,4,Guard,Active,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_steve_alford,1987,1990,N,Y,Y,1987,2,26,False,Indiana,USA,Steve Alford,career,4.4,1.0,0.9,0
1628959,1628959,Rawle,Alkins,Rawle Alkins,"Alkins, Rawle",R. Alkins,1997-10-29T00:00:00,University of Arizona,USA, USA/USA,6-5,225,1,20,Guard,Active,1610612741,Bulls,CHI,bulls,Chicago,rawle_alkins,2018,2019,Y,Y,Y,Undrafted,Undrafted,Undrafted,False, USA,USA,Rawle Alkins,2018-19,3.7,1.3,2.6,0.051
76028,76028,Bob,Allen,Bob Allen,"Allen, Bob",B. Allen,1946-07-17T00:00:00,Marshall,USA,Marshall/USA,6-9,205,0,50,Forward,Active,1610612744,Warriors,SFW,warriors,San Francisco,HISTADD_bob_allen,1968,1968,N,Y,Y,1968,6,71,False,Marshall,USA,Bob Allen,career,1.8,0.4,2.1,0
1628960,1628960,Grayson,Allen,Grayson Allen,"Allen, Grayson",G. Allen,1995-10-08T00:00:00,Duke University,USA,Duke University/USA,6-5,198,1,,Guard,Active,1610612763,Grizzlies,MEM,grizzlies,Memphis,grayson_allen,2018,2019,Y,Y,Y,2018,1,21,False,Duke University,USA,Grayson Allen,2018-19,5.6,0.7,0.6,0.037
1628386,1628386,Jarrett,Allen,Jarrett Allen,"Allen, Jarrett",J. Allen,1998-04-21T00:00:00,Texas,USA,Texas/USA,6-11,237,2,31,Center,Active,1610612751,Nets,BKN,nets,Brooklyn,jarrett_allen,2017,2019,N,Y,Y,2017,1,22,False,Texas,USA,Jarrett Allen,2018-19,10.9,1.4,8.4,0.121
706,706,Jerome,Allen,Jerome Allen,"Allen, Jerome",J. Allen,1973-01-28T00:00:00,Pennsylvania,USA,Pennsylvania/USA,6-4,184,1,53,Guard,Active,1610612743,Nuggets,DEN,nuggets,Denver,jerome_allen,1995,1996,N,Y,Y,1995,2,49,False,Pennsylvania,USA,Jerome Allen,career,2.9,1.7,1.1,0
1628443,1628443,Kadeem,Allen,Kadeem Allen,"Allen, Kadeem",K. Allen,1993-01-15T00:00:00,Arizona,USA,ArizonaUSA/USA,6-3,200,2,0,Guard,Active,1610612752,Knicks,NYK,knicks,New York,kadeem_allen,2017,2019,Y,Y,Y,2017,2,53,False,ArizonaUSA,USA,Kadeem Allen,2018-19,9.9,4.0,2.7,0.101
202730,202730,Lavoy,Allen,Lavoy Allen,"Allen, Lavoy",L. Allen,1989-02-04T00:00:00,Temple,USA,Temple/USA,6-9,260,6,5,Forward-Center,Active,1610612754,Pacers,IND,pacers,Indiana,lavoy_allen,2011,2016,Y,Y,Y,2011,2,50,False,Temple,USA,Lavoy Allen,career,4.8,1.0,4.8,0
76027,76027,Lucius,Allen,Lucius Allen,"Allen, Lucius",L. Allen,1947-09-26T00:00:00,California-Los Angeles,USA,UCLA/USA,6-2,175,9,42,Guard,Active,1610612758,Kings,KCK,kings,Kansas City,HISTADD_lucius_allen,1969,1978,N,Y,Y,1969,1,3,False,UCLA,USA,Lucius Allen,career,13.4,4.5,3.1,0
2124,2124,Malik,Allen,Malik Allen,"Allen, Malik",M. Allen,1978-06-27T00:00:00,Villanova,USA,Villanova/USA,6-10,255,10,35,Forward,Active,1610612753,Magic,ORL,magic,Orlando,malik_allen,2001,2010,N,Y,Y,Undrafted,Undrafted,Undrafted,False,Villanova,USA,Malik Allen,career,4.9,0.5,2.8,0
76025,76025,Randy,Allen,Randy Allen,"Allen, Randy",R. Allen,1965-01-26T00:00:00,Florida State,USA,Florida State/USA,6-8,220,1,33,Forward,Active,1610612758,Kings,SAC,kings,Sacramento,HISTADD_randy_allen,1988,1989,N,Y,Y,Undrafted,Undrafted,Undrafted,False,Florida State,USA,Randy Allen,career,3.6,0.3,2.1,0
951,951,Ray,Allen,Ray Allen,"Allen, Ray",R. Allen,1975-07-20T00:00:00,Connecticut,USA,Connecticut/USA,6-5,205,17,34,Guard,Active,1610612748,Heat,MIA,heat,Miami,ray_allen,1996,2013,N,Y,Y,1996,1,5,False,Connecticut,USA,Ray Allen,career,18.9,3.4,4.1,10
2754,2754,Tony,Allen,Tony Allen,"Allen, Tony",T. Allen,1982-01-11T00:00:00,Oklahoma State,USA,Oklahoma State/USA,,,13,,,Inactive,0,,,,,tony_allen,2004,2017,N,Y,Y,2004,1,25,False,Oklahoma State,USA,Tony Allen,career,8.1,1.3,3.5,0
76029,76029,Odis,Allison,Odis Allison,"Allison, Odis",O. Allison,1949-10-02T00:00:00,Nevada-Las Vegas,USA,Laney Coll. CA (J.C.); Nevada-Las Vegas/USA,6-6,195,0,22,Forward,Active,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_odis_allison,1971,1971,N,Y,Y,1971,5,76,False,Laney Coll. CA (J.C.); Nevada-Las Vegas,USA,Odis Allison,career,1.9,0.3,1.3,0
200984,200984,Lance,Allred,Lance Allred,"Allred, Lance",L. Allred,1981-02-02T00:00:00,Weber State,USA,Weber State/USA,6-11,250,1,41,Center,Active,1610612739,Cavaliers,CLE,cavaliers,Cleveland,lance_allred,2007,2007,Y,Y,Y,Undrafted,Undrafted,Undrafted,False,Weber State,USA,Lance Allred,career,1.0,0.0,0.3,0
76030,76030,Darrell,Allums,Darrell Allums,"Allums, Darrell",D. Allums,1958-09-12T00:00:00,California-Los Angeles,USA,UCLA/USA,6-8,220,0,32,Forward,Active,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_darrell_allums,1980,1980,N,Y,Y,1980,5,103,False,UCLA,USA,Darrell Allums,career,2.7,1.1,3.0,0
201165,201165,Morris,Almond,Morris Almond,"Almond, Morris",M. Almond,1985-02-02T00:00:00,Rice,USA,Rice/USA,6-6,225,3,21,Guard,Active,1610612764,Wizards,WAS,wizards,Washington,morris_almond,2007,2011,Y,Y,Y,2007,1,25,False,Rice,USA,Morris Almond,career,3.1,0.3,1.2,0
308,308,Derrick,Alston,Derrick Alston,"Alston, Derrick",D. Alston,1972-08-20T00:00:00,Duquesne,USA,Duquesne/USA,,,2,,,Inactive,0,,,,,derrick_alston,1994,1996,N,Y,Y,1994,2,33,False,Duquesne,USA,Derrick Alston,career,5.4,0.7,3.8,0
1747,1747,Rafer,Alston,Rafer Alston,"Alston, Rafer",R. Alston,1976-07-24T00:00:00,Fresno State,USA,Fresno State/USA,6-2,175,10,11,Guard,Active,1610612748,Heat,MIA,heat,Miami,rafer_alston,1999,2009,Y,Y,Y,1998,2,39,False,Fresno State,USA,Rafer Alston,career,10.1,4.8,2.8,0
1824,1824,Peter,Aluma,Peter Aluma,"Aluma, Peter",P. Aluma,1973-04-26T00:00:00,Liberty,USA,Liberty/USA,,,0,,,Inactive,0,,,,,peter_aluma,1998,1998,N,Y,Y,Undrafted,Undrafted,Undrafted,False,Liberty,USA,Peter Aluma,career,1.0,0.0,1.0,0
680,680,John,Amaechi,John Amaechi,"Amaechi, John",J. Amaechi,1970-11-26T00:00:00,Penn State,England,Penn State ''95/England,6-10,270,5,13,Forward-Center,Active,1610612762,Jazz,UTA,jazz,Utah,john_amaechi,1995,2002,N,Y,Y,Undrafted,Undrafted,Undrafted,False,Penn State ''95,England,John Amaechi,career,6.2,0.8,2.6,0
732,732,Ashraf,Amaya,Ashraf Amaya,"Amaya, Ashraf",A. Amaya,1971-11-23T00:00:00,Southern Illinois,USA,Southern Illinois/USA,,,1,,,Inactive,0,,,,,ashraf_amaya,1995,1996,N,Y,Y,Undrafted,Undrafted,Undrafted,False,Southern Illinois,USA,Ashraf Amaya,career,4.5,0.4,4.2,0
202329,202329,Al-Farouq,Aminu,Al-Farouq Aminu,"Aminu, Al-Farouq",A. Aminu,1990-09-21T00:00:00,Wake Forest,USA,Wake Forest/USA,6-9,220,9,2,Forward,Active,1610612753,Magic,ORL,magic,Orlando,al-farouq_aminu,2010,2019,N,Y,Y,2010,1,8,False,Wake Forest,USA,Al-Farouq Aminu,2018-19,9.4,1.3,7.5,0.097
